Metric	SampleA	SampleB	HabitatA	HabitatB	PairType	Distance
Bray-Curtis	NP2	Even3	Marine/estuarine	Mock	Between habitats	0.99768
Bray-Curtis	NP3	Even3	Marine/estuarine	Mock	Between habitats	0.99726
Bray-Curtis	NP5	Even3	Marine/estuarine	Mock	Between habitats	0.9974
Bray-Curtis	TRRsed1	Even3	Marine/estuarine	Mock	Between habitats	0.94664
Bray-Curtis	TRRsed2	Even3	Marine/estuarine	Mock	Between habitats	0.99712
Bray-Curtis	TRRsed3	Even3	Marine/estuarine	Mock	Between habitats	0.95722
Bray-Curtis	TS28	Even3	Human-associated	Mock	Between habitats	0.88122
Bray-Curtis	TS29	Even3	Human-associated	Mock	Between habitats	0.8811
Bray-Curtis	Even1	Even3	Mock	Mock	Within habitat	0.0705
Bray-Curtis	Even2	Even3	Mock	Mock	Within habitat	0.09148
Jaccard	CL3	CC1	Soil	Soil	Within habitat	0.5250106883283454
Jaccard	CL3	SV1	Soil	Soil	Within habitat	0.7051671732522796
Jaccard	CC1	SV1	Soil	Soil	Within habitat	0.6573663073346016
Jaccard	CL3	M31Fcsw	Soil	Human-associated	Between habitats	0.9707026186155042
Jaccard	CC1	M31Fcsw	Soil	Human-associated	Between habitats	0.9808231992516371
Jaccard	SV1	M31Fcsw	Soil	Human-associated	Between habitats	0.9732973297329733
Jaccard	CL3	M11Fcsw	Soil	Human-associated	Between habitats	0.9741030482870245
Jaccard	CC1	M11Fcsw	Soil	Human-associated	Between habitats	0.9854756717501816
Jaccard	SV1	M11Fcsw	Soil	Human-associated	Between habitats	0.9767368751964791
Jaccard	M31Fcsw	M11Fcsw	Human-associated	Human-associated	Within habitat	0.7119509703779368
Jaccard	CL3	M31Plmr	Soil	Human-associated	Between habitats	0.9278055754110078
Jaccard	CC1	M31Plmr	Soil	Human-associated	Between habitats	0.913536341409202
Jaccard	SV1	M31Plmr	Soil	Human-associated	Between habitats	0.8960893854748604
Jaccard	M31Fcsw	M31Plmr	Human-associated	Human-associated	Within habitat	0.9323882224645584
Jaccard	M11Fcsw	M31Plmr	Human-associated	Human-associated	Within habitat	0.9439858490566038
Jaccard	CL3	M11Plmr	Soil	Human-associated	Between habitats	0.8499153259949196
Jaccard	CC1	M11Plmr	Soil	Human-associated	Between habitats	0.814942996742671
Jaccard	SV1	M11Plmr	Soil	Human-associated	Between habitats	0.8029894633668219
Jaccard	M31Fcsw	M11Plmr	Human-associated	Human-associated	Within habitat	0.9394717534849596
Jaccard	M11Fcsw	M11Plmr	Human-associated	Human-associated	Within habitat	0.9494793675279599
Jaccard	M31Plmr	M11Plmr	Human-associated	Human-associated	Within habitat	0.7320237212750185
Jaccard	CL3	F21Plmr	Soil	Human-associated	Between habitats	0.8940782122905028
Jaccard	CC1	F21Plmr	Soil	Human-associated	Between habitats	0.864468085106383
Jaccard	SV1	F21Plmr	Soil	Human-associated	Between habitats	0.8316963100610566
Jaccard	M31Fcsw	F21Plmr	Human-associated	Human-associated	Within habitat	0.9502834714348016
Jaccard	M11Fcsw	F21Plmr	Human-associated	Human-associated	Within habitat	0.964401294498382
Jaccard	M31Plmr	F21Plmr	Human-associated	Human-associated	Within habitat	0.6746389891696751
Jaccard	M11Plmr	F21Plmr	Human-associated	Human-associated	Within habitat	0.6668963141577678
Jaccard	CL3	M31Tong	Soil	Human-associated	Between habitats	0.9756364631809472
Jaccard	CC1	M31Tong	Soil	Human-associated	Between habitats	0.9772164437840515
Jaccard	SV1	M31Tong	Soil	Human-associated	Between habitats	0.9683462532299743
Jaccard	M31Fcsw	M31Tong	Human-associated	Human-associated	Within habitat	0.937112488928255
Jaccard	M11Fcsw	M31Tong	Human-associated	Human-associated	Within habitat	0.9284232365145229
Jaccard	M31Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.8497340425531915
Jaccard	M11Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.9095004095004094
Jaccard	F21Plmr	M31Tong	Human-associated	Human-associated	Within habitat	0.8802672147995889
Jaccard	CL3	M11Tong	Soil	Human-associated	Between habitats	0.9096371620060089
Jaccard	CC1	M11Tong	Soil	Human-associated	Between habitats	0.9085079093629757
Jaccard	SV1	M11Tong	Soil	Human-associated	Between habitats	0.9063729346970888
Jaccard	M31Fcsw	M11Tong	Human-associated	Human-associated	Within habitat	0.9200992555831266
Jaccard	M11Fcsw	M11Tong	Human-associated	Human-associated	Within habitat	0.9233654876741693
Jaccard	M31Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.8234782608695652
Jaccard	M11Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.8227110967324489
Jaccard	F21Plmr	M11Tong	Human-associated	Human-associated	Within habitat	0.8179093293368302
Jaccard	M31Tong	M11Tong	Human-associated	Human-associated	Within habitat	0.7771500313873195
Jaccard	CL3	LMEpi24M	Soil	Freshwater	Between habitats	0.943550514376154
Jaccard	CC1	LMEpi24M	Soil	Freshwater	Between habitats	0.9280136652025378
Jaccard	SV1	LMEpi24M	Soil	Freshwater	Between habitats	0.9330246913580247
Jaccard	M31Fcsw	LMEpi24M	Human-associated	Freshwater	Between habitats	0.9653465346534654
Jaccard	M11Fcsw	LMEpi24M	Human-associated	Freshwater	Between habitats	0.9632000000000001
Jaccard	M31Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.9227027027027027
Jaccard	M11Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.8958490566037736
Jaccard	F21Plmr	LMEpi24M	Human-associated	Freshwater	Between habitats	0.907871198568873
Jaccard	M31Tong	LMEpi24M	Human-associated	Freshwater	Between habitats	0.8863841298467087
Jaccard	M11Tong	LMEpi24M	Human-associated	Freshwater	Between habitats	0.7365714285714287
Jaccard	CL3	SLEpi20M	Soil	Freshwater	Between habitats	0.9347655226617763
Jaccard	CC1	SLEpi20M	Soil	Freshwater	Between habitats	0.9168287937743191
Jaccard	SV1	SLEpi20M	Soil	Freshwater	Between habitats	0.9251451267949892
Jaccard	M31Fcsw	SLEpi20M	Human-associated	Freshwater	Between habitats	0.9771812080536914
Jaccard	M11Fcsw	SLEpi20M	Human-associated	Freshwater	Between habitats	0.9750755287009064
Jaccard	M31Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.921218487394958
Jaccard	M11Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.8981925488749538
Jaccard	F21Plmr	SLEpi20M	Human-associated	Freshwater	Between habitats	0.9021929824561403
Jaccard	M31Tong	SLEpi20M	Human-associated	Freshwater	Between habitats	0.9172932330827067
Jaccard	M11Tong	SLEpi20M	Human-associated	Freshwater	Between habitats	0.8035808320168509
Jaccard	LMEpi24M	SLEpi20M	Freshwater	Freshwater	Within habitat	0.7626984126984127
Jaccard	CL3	AQC1cm	Soil	Freshwater	Between habitats	0.8421959095801936
Jaccard	CC1	AQC1cm	Soil	Freshwater	Between habitats	0.8182004509120722
Jaccard	SV1	AQC1cm	Soil	Freshwater	Between habitats	0.870967741935484
Jaccard	M31Fcsw	AQC1cm	Human-associated	Freshwater	Between habitats	0.9542772861356932
Jaccard	M11Fcsw	AQC1cm	Human-associated	Freshwater	Between habitats	0.9586422161529458
Jaccard	M31Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.9354838709677419
Jaccard	M11Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.8713573116303492
Jaccard	F21Plmr	AQC1cm	Human-associated	Freshwater	Between habitats	0.9046798736721217
Jaccard	M31Tong	AQC1cm	Human-associated	Freshwater	Between habitats	0.9142381348875938
Jaccard	M11Tong	AQC1cm	Human-associated	Freshwater	Between habitats	0.7763741891430521
Jaccard	LMEpi24M	AQC1cm	Freshwater	Freshwater	Within habitat	0.846987951807229
Jaccard	SLEpi20M	AQC1cm	Freshwater	Freshwater	Within habitat	0.8205953338696702
Jaccard	CL3	AQC4cm	Soil	Freshwater	Between habitats	0.8657174151150054
Jaccard	CC1	AQC4cm	Soil	Freshwater	Between habitats	0.8461857379767828
Jaccard	SV1	AQC4cm	Soil	Freshwater	Between habitats	0.892079444843264
Jaccard	M31Fcsw	AQC4cm	Human-associated	Freshwater	Between habitats	0.9814528593508501
Jaccard	M11Fcsw	AQC4cm	Human-associated	Freshwater	Between habitats	0.985620377978636
Jaccard	M31Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.954770551337075
Jaccard	M11Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.9045964724746126
Jaccard	F21Plmr	AQC4cm	Human-associated	Freshwater	Between habitats	0.9212175470008952
Jaccard	M31Tong	AQC4cm	Human-associated	Freshwater	Between habitats	0.93545534924845275
Jaccard	M11Tong	AQC4cm	Human-associated	Freshwater	Between habitats	0.8266296809986131
Jaccard	LMEpi24M	AQC4cm	Freshwater	Freshwater	Within habitat	0.8763146823727387
Jaccard	SLEpi20M	AQC4cm	Freshwater	Freshwater	Within habitat	0.8438425730004232
Jaccard	AQC1cm	AQC4cm	Freshwater	Freshwater	Within habitat	0.5442764578833693
Jaccard	CL3	AQC7cm	Soil	Freshwater	Between habitats	0.8486277873070327
Jaccard	CC1	AQC7cm	Soil	Freshwater	Between habitats	0.8246580934884671
Jaccard	SV1	AQC7cm	Soil	Freshwater	Between habitats	0.8801672085462146
Jaccard	M31Fcsw	AQC7cm	Human-associated	Freshwater	Between habitats	0.984560143626571
Jaccard	M11Fcsw	AQC7cm	Human-associated	Freshwater	Between habitats	0.9847386493704693
Jaccard	M31Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.9548708372237784
Jaccard	M11Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.902276797134817
Jaccard	F21Plmr	AQC7cm	Human-associated	Freshwater	Between habitats	0.9257900677200903
Jaccard	M31Tong	AQC7cm	Human-associated	Freshwater	Between habitats	0.9503431570448122
Jaccard	M11Tong	AQC7cm	Human-associated	Freshwater	Between habitats	0.8321358589157413
Jaccard	LMEpi24M	AQC7cm	Freshwater	Freshwater	Within habitat	0.8679319889284303
Jaccard	SLEpi20M	AQC7cm	Freshwater	Freshwater	Within habitat	0.8424386381631038
Jaccard	AQC1cm	AQC7cm	Freshwater	Freshwater	Within habitat	0.5669824086603518
Jaccard	AQC4cm	AQC7cm	Freshwater	Freshwater	Within habitat	0.484984984984985
Jaccard	CL3	NP2	Soil	Marine/estuarine	Between habitats	0.961317694035438
Jaccard	CC1	NP2	Soil	Marine/estuarine	Between habitats	0.9588100686498856
Jaccard	SV1	NP2	Soil	Marine/estuarine	Between habitats	0.9635790077430455
Jaccard	M31Fcsw	NP2	Human-associated	Marine/estuarine	Between habitats	0.9746835443037974
Jaccard	M11Fcsw	NP2	Human-associated	Marine/estuarine	Between habitats	0.9738700564971752
Jaccard	M31Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.9568170790878214
Jaccard	M11Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.9416409200137316
Jaccard	F21Plmr	NP2	Human-associated	Marine/estuarine	Between habitats	0.9313322368421052
Jaccard	M31Tong	NP2	Human-associated	Marine/estuarine	Between habitats	0.8599508599508598
Jaccard	M11Tong	NP2	Human-associated	Marine/estuarine	Between habitats	0.816591704147926
Jaccard	LMEpi24M	NP2	Freshwater	Marine/estuarine	Between habitats	0.889261744966443
Jaccard	SLEpi20M	NP2	Freshwater	Marine/estuarine	Between habitats	0.8710526315789473
Jaccard	AQC1cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.8367268536304265
Jaccard	AQC4cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.8270427208627126
Jaccard	AQC7cm	NP2	Freshwater	Marine/estuarine	Between habitats	0.8490853658536585
Jaccard	CL3	NP3	Soil	Marine/estuarine	Between habitats	0.9695611137328928
Jaccard	CC1	NP3	Soil	Marine/estuarine	Between habitats	0.9647289353363814
Jaccard	SV1	NP3	Soil	Marine/estuarine	Between habitats	0.9610990206746463
Jaccard	M31Fcsw	NP3	Human-associated	Marine/estuarine	Between habitats	0.9741427768409219
Jaccard	M11Fcsw	NP3	Human-associated	Marine/estuarine	Between habitats	0.9746444032158318
Jaccard	M31Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.9495985727029438
Jaccard	M11Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.9254901960784313
Jaccard	F21Plmr	NP3	Human-associated	Marine/estuarine	Between habitats	0.9223674096848579
Jaccard	M31Tong	NP3	Human-associated	Marine/estuarine	Between habitats	0.8777231201686578
Jaccard	M11Tong	NP3	Human-associated	Marine/estuarine	Between habitats	0.8492844364937387
Jaccard	LMEpi24M	NP3	Freshwater	Marine/estuarine	Between habitats	0.9242336610757663
Jaccard	SLEpi20M	NP3	Freshwater	Marine/estuarine	Between habitats	0.9177464788732395
Jaccard	AQC1cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.8984667802385008
Jaccard	AQC4cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.9187165775401069
Jaccard	AQC7cm	NP3	Freshwater	Marine/estuarine	Between habitats	0.9328259430840503
Jaccard	NP2	NP3	Marine/estuarine	Marine/estuarine	Within habitat	0.7409488139825219
Jaccard	CL3	NP5	Soil	Marine/estuarine	Between habitats	0.9778950012559658
Jaccard	CC1	NP5	Soil	Marine/estuarine	Between habitats	0.973987108655617
Jaccard	SV1	NP5	Soil	Marine/estuarine	Between habitats	0.971970802919708
Jaccard	M31Fcsw	NP5	Human-associated	Marine/estuarine	Between habitats	0.9717171717171718
Jaccard	M11Fcsw	NP5	Human-associated	Marine/estuarine	Between habitats	0.9696969696969697
Jaccard	M31Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.9467485919098823
Jaccard	M11Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.9366998577524894
Jaccard	F21Plmr	NP5	Human-associated	Marine/estuarine	Between habitats	0.9313432835820895
Jaccard	M31Tong	NP5	Human-associated	Marine/estuarine	Between habitats	0.8265582655826558
Jaccard	M11Tong	NP5	Human-associated	Marine/estuarine	Between habitats	0.8386932108218479
Jaccard	LMEpi24M	NP5	Freshwater	Marine/estuarine	Between habitats	0.9264604810996564
Jaccard	SLEpi20M	NP5	Freshwater	Marine/estuarine	Between habitats	0.9230258792302588
Jaccard	AQC1cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.8995125609298837
Jaccard	AQC4cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.9164025356576861
Jaccard	AQC7cm	NP5	Freshwater	Marine/estuarine	Between habitats	0.936023264267539
Jaccard	NP2	NP5	Marine/estuarine	Marine/estuarine	Within habitat	0.6817484662576687
Jaccard	NP3	NP5	Marine/estuarine	Marine/estuarine	Within habitat	0.6875852660300137
Jaccard	CL3	TRRsed1	Soil	Marine/estuarine	Between habitats	0.9120702005730659
Jaccard	CC1	TRRsed1	Soil	Marine/estuarine	Between habitats	0.8999148936170213
Jaccard	SV1	TRRsed1	Soil	Marine/estuarine	Between habitats	0.8946000000000001
Jaccard	M31Fcsw	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.9642333626502492
Jaccard	M11Fcsw	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.9700122399020807
Jaccard	M31Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.9225669583664811
Jaccard	M11Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.8927304964539007
Jaccard	F21Plmr	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.8892171344165436
Jaccard	M31Tong	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.9103198153643257
Jaccard	M11Tong	TRRsed1	Human-associated	Marine/estuarine	Between habitats	0.8216350123864574
Jaccard	LMEpi24M	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.9207501512401693
Jaccard	SLEpi20M	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.9215453194650817
Jaccard	AQC1cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.8490566037735848
Jaccard	AQC4cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.8749406739439962
Jaccard	AQC7cm	TRRsed1	Freshwater	Marine/estuarine	Between habitats	0.8793730122671514
Jaccard	NP2	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.8513721862473018
Jaccard	NP3	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.8126888217522658
Jaccard	NP5	TRRsed1	Marine/estuarine	Marine/estuarine	Within habitat	0.8433121019108281
Jaccard	CL3	TRRsed2	Soil	Marine/estuarine	Between habitats	0.926859000406339
Jaccard	CC1	TRRsed2	Soil	Marine/estuarine	Between habitats	0.9193825042881646
Jaccard	SV1	TRRsed2	Soil	Marine/estuarine	Between habitats	0.9243353783231084
Jaccard	M31Fcsw	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.97837434750186425
Jaccard	M11Fcsw	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9805863708399366
Jaccard	M31Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9379668723611562
Jaccard	M11Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9175894926603142
Jaccard	F21Plmr	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9106619800820152
Jaccard	M31Tong	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.9485140226035998
Jaccard	M11Tong	TRRsed2	Human-associated	Marine/estuarine	Between habitats	0.8923467767545252
Jaccard	LMEpi24M	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.9524348810872028
Jaccard	SLEpi20M	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.9484612532443456
Jaccard	AQC1cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.900026518164943
Jaccard	AQC4cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.898744769874477
Jaccard	AQC7cm	TRRsed2	Freshwater	Marine/estuarine	Between habitats	0.9015654019633855
Jaccard	NP2	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.8956685499058381
Jaccard	NP3	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.8703637018365142
Jaccard	NP5	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.9072363356428021
Jaccard	TRRsed1	TRRsed2	Marine/estuarine	Marine/estuarine	Within habitat	0.632514817950889
Jaccard	CL3	TRRsed3	Soil	Marine/estuarine	Between habitats	0.9175117004680187
Jaccard	CC1	TRRsed3	Soil	Marine/estuarine	Between habitats	0.9164386060937786
Jaccard	SV1	TRRsed3	Soil	Marine/estuarine	Between habitats	0.9196717771539624
Jaccard	M31Fcsw	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9307036247334755
Jaccard	M11Fcsw	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9371727748691099
Jaccard	M31Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9356390977443609
Jaccard	M11Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9145631067961165
Jaccard	F21Plmr	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.911869031377899
Jaccard	M31Tong	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.9385496183206106
Jaccard	M11Tong	TRRsed3	Human-associated	Marine/estuarine	Between habitats	0.8741384477075218
Jaccard	LMEpi24M	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.9510682288077188
Jaccard	SLEpi20M	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.9460285132382893
Jaccard	AQC1cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.8769387236206458
Jaccard	AQC4cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.8908469226722777
Jaccard	AQC7cm	TRRsed3	Freshwater	Marine/estuarine	Between habitats	0.8936010037641154
Jaccard	NP2	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.9060150375939849
Jaccard	NP3	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.8909150113969391
Jaccard	NP5	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.9174503657262277
Jaccard	TRRsed1	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.6556256572029443
Jaccard	TRRsed2	TRRsed3	Marine/estuarine	Marine/estuarine	Within habitat	0.6002591512795594
Jaccard	CL3	TS28	Soil	Human-associated	Between habitats	0.9640764331210191
Jaccard	CC1	TS28	Soil	Human-associated	Between habitats	0.9758565187399402
Jaccard	SV1	TS28	Soil	Human-associated	Between habitats	0.9655983534254631
Jaccard	M31Fcsw	TS28	Human-associated	Human-associated	Within habitat	0.6918454935622317
Jaccard	M11Fcsw	TS28	Human-associated	Human-associated	Within habitat	0.7493087557603686
Jaccard	M31Plmr	TS28	Human-associated	Human-associated	Within habitat	0.9434156378600823
Jaccard	M11Plmr	TS28	Human-associated	Human-associated	Within habitat	0.9415308291991495
Jaccard	F21Plmr	TS28	Human-associated	Human-associated	Within habitat	0.9469920067311737
Jaccard	M31Tong	TS28	Human-associated	Human-associated	Within habitat	0.9109243697478993
Jaccard	M11Tong	TS28	Human-associated	Human-associated	Within habitat	0.8997578692493947
Jaccard	LMEpi24M	TS28	Freshwater	Human-associated	Between habitats	0.955793703951775
Jaccard	SLEpi20M	TS28	Freshwater	Human-associated	Between habitats	0.9641943734015346
Jaccard	AQC1cm	TS28	Freshwater	Human-associated	Between habitats	0.9376811594202898
Jaccard	AQC4cm	TS28	Freshwater	Human-associated	Between habitats	0.9690566037735849
Jaccard	AQC7cm	TS28	Freshwater	Human-associated	Between habitats	0.9711470795214638
Jaccard	NP2	TS28	Marine/estuarine	Human-associated	Between habitats	0.9562043795620437
Jaccard	NP3	TS28	Marine/estuarine	Human-associated	Between habitats	0.9571118349619978
Jaccard	NP5	TS28	Marine/estuarine	Human-associated	Between habitats	0.949514563106796
Jaccard	TRRsed1	TS28	Marine/estuarine	Human-associated	Between habitats	0.9435225618631732
Jaccard	TRRsed2	TS28	Marine/estuarine	Human-associated	Between habitats	0.9630712979890311
Jaccard	TRRsed3	TS28	Marine/estuarine	Human-associated	Between habitats	0.8973721590909091
Jaccard	CL3	TS29	Soil	Human-associated	Between habitats	0.9649354073292908
Jaccard	CC1	TS29	Soil	Human-associated	Between habitats	0.9769978657813613
Jaccard	SV1	TS29	Soil	Human-associated	Between habitats	0.9685496183206107
Jaccard	M31Fcsw	TS29	Human-associated	Human-associated	Within habitat	0.7395264116575592
Jaccard	M11Fcsw	TS29	Human-associated	Human-associated	Within habitat	0.7781124497991968
Jaccard	M31Plmr	TS29	Human-associated	Human-associated	Within habitat	0.9384359400998336
Jaccard	M11Plmr	TS29	Human-associated	Human-associated	Within habitat	0.946725860155383
Jaccard	F21Plmr	TS29	Human-associated	Human-associated	Within habitat	0.9511762094984465
Jaccard	M31Tong	TS29	Human-associated	Human-associated	Within habitat	0.9104618284637135
Jaccard	M11Tong	TS29	Human-associated	Human-associated	Within habitat	0.9032921810699589
Jaccard	LMEpi24M	TS29	Freshwater	Human-associated	Between habitats	0.951219512195122
Jaccard	SLEpi20M	TS29	Freshwater	Human-associated	Between habitats	0.9599437807449052
Jaccard	AQC1cm	TS29	Freshwater	Human-associated	Between habitats	0.9278033794162827
Jaccard	AQC4cm	TS29	Freshwater	Human-associated	Between habitats	0.9648562300319489
Jaccard	AQC7cm	TS29	Freshwater	Human-associated	Between habitats	0.9700332963374029
Jaccard	NP2	TS29	Marine/estuarine	Human-associated	Between habitats	0.9590488771466315
Jaccard	NP3	TS29	Marine/estuarine	Human-associated	Between habitats	0.9627256843331392
Jaccard	NP5	TS29	Marine/estuarine	Human-associated	Between habitats	0.9556338028169014
Jaccard	TRRsed1	TS29	Marine/estuarine	Human-associated	Between habitats	0.9544501048846269
Jaccard	TRRsed2	TS29	Marine/estuarine	Human-associated	Between habitats	0.9698127627053879
Jaccard	TRRsed3	TS29	Marine/estuarine	Human-associated	Between habitats	0.9163011695906432
Jaccard	TS28	TS29	Human-associated	Human-associated	Within habitat	0.6594202898550725
Jaccard	CL3	Even1	Soil	Mock	Between habitats	0.9257987853181939
Jaccard	CC1	Even1	Soil	Mock	Between habitats	0.9377830750893921
Jaccard	SV1	Even1	Soil	Mock	Between habitats	0.9365558912386707
Jaccard	M31Fcsw	Even1	Human-associated	Mock	Between habitats	0.856071964017991
Jaccard	M11Fcsw	Even1	Human-associated	Mock	Between habitats	0.8805601317957166
Jaccard	M31Plmr	Even1	Human-associated	Mock	Between habitats	0.9308372334893396
Jaccard	M11Plmr	Even1	Human-associated	Mock	Between habitats	0.9275206315034087
Jaccard	F21Plmr	Even1	Human-associated	Mock	Between habitats	0.9322250639386189
Jaccard	M31Tong	Even1	Human-associated	Mock	Between habitats	0.9
Jaccard	M11Tong	Even1	Human-associated	Mock	Between habitats	0.866965620328849
Jaccard	LMEpi24M	Even1	Freshwater	Mock	Between habitats	0.9271477663230241
Jaccard	SLEpi20M	Even1	Freshwater	Mock	Between habitats	0.9286657859973579
Jaccard	AQC1cm	Even1	Freshwater	Mock	Between habitats	0.8982350732256854
Jaccard	AQC4cm	Even1	Freshwater	Mock	Between habitats	0.931196247068022
Jaccard	AQC7cm	Even1	Freshwater	Mock	Between habitats	0.9379310344827586
Jaccard	NP2	Even1	Marine/estuarine	Mock	Between habitats	0.922884012539185
Jaccard	NP3	Even1	Marine/estuarine	Mock	Between habitats	0.9352159468438539
Jaccard	NP5	Even1	Marine/estuarine	Mock	Between habitats	0.9273927392739274
Jaccard	TRRsed1	Even1	Marine/estuarine	Mock	Between habitats	0.9000302938503484
Jaccard	TRRsed2	Even1	Marine/estuarine	Mock	Between habitats	0.937874251497006
Jaccard	TRRsed3	Even1	Marine/estuarine	Mock	Between habitats	0.8903571428571427
Jaccard	TS28	Even1	Human-associated	Mock	Between habitats	0.836441893830703
Jaccard	TS29	Even1	Human-associated	Mock	Between habitats	0.8529411764705882
Jaccard	CL3	Even2	Soil	Mock	Between habitats	0.9330623306233061
Jaccard	CC1	Even2	Soil	Mock	Between habitats	0.9391709590385087
Jaccard	SV1	Even2	Soil	Mock	Between habitats	0.9409375000000001
Jaccard	M31Fcsw	Even2	Human-associated	Mock	Between habitats	0.8630806845965769
Jaccard	M11Fcsw	Even2	Human-associated	Mock	Between habitats	0.8846503178928247
Jaccard	M31Plmr	Even2	Human-associated	Mock	Between habitats	0.9275766016713092
Jaccard	M11Plmr	Even2	Human-associated	Mock	Between habitats	0.93596425912137
Jaccard	F21Plmr	Even2	Human-associated	Mock	Between habitats	0.9368562472010747
Jaccard	M31Tong	Even2	Human-associated	Mock	Between habitats	0.9164345403899722
Jaccard	M11Tong	Even2	Human-associated	Mock	Between habitats	0.8982005141388174
Jaccard	LMEpi24M	Even2	Freshwater	Mock	Between habitats	0.9415247964470762
Jaccard	SLEpi20M	Even2	Freshwater	Mock	Between habitats	0.9536842105263158
Jaccard	AQC1cm	Even2	Freshwater	Mock	Between habitats	0.9268759571209801
Jaccard	AQC4cm	Even2	Freshwater	Mock	Between habitats	0.9550381372942593
Jaccard	AQC7cm	Even2	Freshwater	Mock	Between habitats	0.961738484398217
Jaccard	NP2	Even2	Marine/estuarine	Mock	Between habitats	0.9503968253968254
Jaccard	NP3	Even2	Marine/estuarine	Mock	Between habitats	0.9489736070381232
Jaccard	NP5	Even2	Marine/estuarine	Mock	Between habitats	0.9426751592356688
Jaccard	TRRsed1	Even2	Marine/estuarine	Mock	Between habitats	0.9260509358698987
Jaccard	TRRsed2	Even2	Marine/estuarine	Mock	Between habitats	0.9592464436755094
Jaccard	TRRsed3	Even2	Marine/estuarine	Mock	Between habitats	0.9217391304347826
Jaccard	TS28	Even2	Human-associated	Mock	Between habitats	0.847758887171561
Jaccard	TS29	Even2	Human-associated	Mock	Between habitats	0.8541136556403732
