FeatureID	Phylum	Class	Order	Family	Genus	LineageKey	CompleteDepth	EqualSampleMean
OTU_5509	Proteobacteria	Betaproteobacteria	Unknown order	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > Unknown order > Unknown family > Unknown genus	2	2.740143060876165e-6
OTU_4359	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus	Cyanobacteria > Cyanobacteria > SubsectionI > FamilyI > Prochlorococcus	5	1.798345925492085e-5
OTU_685	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	5	1.0806239477771296e-4
OTU_687	Nitrospirae	Nitrospira	Nitrospirales	Sh765B-TzT-35	Unknown genus	Nitrospirae > Nitrospira > Nitrospirales > Sh765B-TzT-35 > Unknown genus	4	2.026577813887045e-4
OTU_630	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus	2	2.354342197703663e-4
OTU_2695	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	4.69100582425969e-5
OTU_3787	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Ferritrophicum	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Ferritrophicum	5	6.411101438666917e-5
OTU_12643	Acidobacteria	Acidobacteria	Subgroup 18	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 18 > Unknown family > Unknown genus	3	5.0141581396151864e-5
OTU_1484	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Terrimonas	5	8.314396936895754e-5
OTU_12432	Cyanobacteria	Chloroplast	Unknown order	Unknown family	Unknown genus	Cyanobacteria > Chloroplast > Unknown order > Unknown family > Unknown genus	2	3.57171704302652e-5
OTU_12202	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unknown genus	Firmicutes > Clostridia > Clostridiales > Lachnospiraceae > Unknown genus	4	1.3690705515872882e-5
OTU_2170	Latescibacteria	Unknown class	Unknown order	Unknown family	Unknown genus	Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus	1	5.3036648468348116e-5
OTU_9547	Chloroflexi	Unknown class	Unknown order	Unknown family	Unknown genus	Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.280676305961458e-5
OTU_5944	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Variibacter	Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Variibacter	5	8.610041864103241e-5
OTU_477	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	Unknown family	Unknown genus	Proteobacteria > Deltaproteobacteria > Sh765B-TzT-29 > Unknown family > Unknown genus	3	2.502531348058522e-4
OTU_2881	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	8.072837447059078e-5
OTU_4310	Cyanobacteria	Chloroplast	Unknown order	Unknown family	Unknown genus	Cyanobacteria > Chloroplast > Unknown order > Unknown family > Unknown genus	2	2.5519518814411894e-5
OTU_6442	Chloroflexi	S085	Unknown order	Unknown family	Unknown genus	Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus	2	1.0776223729261515e-4
OTU_3083	Latescibacteria	Unknown class	Unknown order	Unknown family	Unknown genus	Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus	1	5.25066218328689e-5
OTU_2754	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Pseudolabrys	5	2.2409473802485308e-4
OTU_2891	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Unknown genus	Nitrospirae > Nitrospira > Nitrospirales > Nitrospiraceae > Unknown genus	4	4.010581660822196e-5
OTU_2468	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella	Actinobacteria > Actinobacteria > Micromonosporales > Micromonosporaceae > Luedemannella	5	2.735291756827683e-5
OTU_2123	Chloroflexi	Ktedonobacteria	Ktedonobacterales	HSB OF53-F07	Unknown genus	Chloroflexi > Ktedonobacteria > Ktedonobacterales > HSB OF53-F07 > Unknown genus	4	4.0673539045632924e-4
OTU_240	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	BVA18	Unknown genus	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > BVA18 > Unknown genus	4	5.449487971793063e-4
OTU_2473	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Unknown genus	4	4.788615967342267e-5
OTU_6093	Armatimonadetes	Unknown class	Unknown order	Unknown family	Unknown genus	Armatimonadetes > Unknown class > Unknown order > Unknown family > Unknown genus	1	1.1261406520626689e-5
OTU_2709	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Unknown genus	4	3.359300687650651e-5
OTU_189	Proteobacteria	Betaproteobacteria	SC-I-84	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > SC-I-84 > Unknown family > Unknown genus	3	1.36140238577678e-4
OTU_2559	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Roseomonas	5	1.4983707321276084e-5
OTU_3576	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta 2	Spirochaetae > Spirochaetes > Spirochaetales > Spirochaetaceae > Spirochaeta 2	5	1.8946140804140907e-5
OTU_767	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Proteobacteria > Betaproteobacteria > Burkholderiales > Oxalobacteraceae > Massilia	5	4.2502806802673153e-4
OTU_2190	Chloroflexi	KD4-96	Unknown order	Unknown family	Unknown genus	Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus	2	7.608255091264212e-4
OTU_270	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	WCHB1-69	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > WCHB1-69 > Unknown genus	4	2.704692183342959e-4
OTU_9528	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Unknown genus	Proteobacteria > Gammaproteobacteria > Chromatiales > Chromatiaceae > Unknown genus	4	1.7408138170828698e-5
OTU_71	Chloroflexi	Ktedonobacteria	JG30-KF-AS9	Unknown family	Unknown genus	Chloroflexi > Ktedonobacteria > JG30-KF-AS9 > Unknown family > Unknown genus	3	1.0042915182175369e-4
OTU_2101	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales Incertae Sedis	Candidatus Microthrix	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiales Incertae Sedis > Candidatus Microthrix	5	8.368472115385513e-5
OTU_7139	Gemmatimonadetes	Gemmatimonadetes	S0134 terrestrial group	Unknown family	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > S0134 terrestrial group > Unknown family > Unknown genus	3	8.865229352841478e-5
OTU_463	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospirae > Nitrospira > Nitrospirales > Nitrospiraceae > Nitrospira	5	9.342752430866392e-5
OTU_1987	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Unknown genus	4	2.3494786592969042e-4
OTU_2472	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	1.2704030925707744e-5
OTU_10088	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	8.027034531348187e-5
OTU_3747	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadales Incertae Sedis	Steroidobacter	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Steroidobacter	5	3.496771812675507e-5
OTU_11575	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1 clade	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > OM1 clade > Unknown genus	4	1.309576823877286e-4
OTU_2985	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	6.73272912308823e-5
OTU_4617	Actinobacteria	Thermoleophilia	Gaiellales	Unknown family	Unknown genus	Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus	3	2.3259583552544034e-5
OTU_2079	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	7.686260314353598e-5
OTU_1642	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Proteobacteria > Deltaproteobacteria > Myxococcales > Polyangiaceae > Sorangium	5	1.5794722259075924e-4
OTU_5828	Acidobacteria	Holophagae	Subgroup 7	Unknown family	Unknown genus	Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus	3	9.75369915744958e-6
OTU_2817	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	3.001967283007815e-5
OTU_4194	Proteobacteria	Gammaproteobacteria	KI89A clade	Unknown family	Unknown genus	Proteobacteria > Gammaproteobacteria > KI89A clade > Unknown family > Unknown genus	3	9.453545015326758e-5
OTU_1513	Acidobacteria	Holophagae	Subgroup 7	Unknown family	Unknown genus	Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus	3	9.697286060879948e-5
OTU_1868	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca	Proteobacteria > Gammaproteobacteria > Pseudomonadales > Moraxellaceae > Perlucidibaca	5	9.904548796163212e-6
OTU_252	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus	4	1.1449437191976548e-4
OTU_260	Proteobacteria	Alphaproteobacteria	Rhizobiales	MNG7	Unknown genus	Proteobacteria > Alphaproteobacteria > Rhizobiales > MNG7 > Unknown genus	4	5.059470735160249e-4
OTU_3706	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Unknown genus	Bacteroidetes > Cytophagia > Cytophagales > Cytophagaceae > Unknown genus	4	6.527648966820306e-5
OTU_1318	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	1.408322949449928e-4
OTU_3162	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	7.889939012718241e-6
OTU_1715	Latescibacteria	Unknown class	Unknown order	Unknown family	Unknown genus	Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus	1	9.640131927077433e-6
OTU_12695	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Proteobacteria > Gammaproteobacteria > Aeromonadales > Aeromonadaceae > Tolumonas	5	8.298056233676968e-6
OTU_7195	TA06	Unknown class	Unknown order	Unknown family	Unknown genus	TA06 > Unknown class > Unknown order > Unknown family > Unknown genus	1	1.4417532006674128e-6
OTU_5254	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Unknown genus	4	1.5686652210464586e-5
OTU_1292	Firmicutes	Bacilli	Bacillales	Bacillaceae	Unknown genus	Firmicutes > Bacilli > Bacillales > Bacillaceae > Unknown genus	4	2.894453502118637e-4
OTU_3580	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > Gemmatimonadales > Gemmatimonadaceae > Unknown genus	4	1.6206834960289692e-4
OTU_13522	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Bdellovibrionales > Bacteriovoracaceae > Unknown genus	4	1.567419255642551e-5
OTU_2027	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Unknown genus	Acidobacteria > Holophagae > Holophagales > Holophagaceae > Unknown genus	4	9.01146859017995e-5
OTU_197	Acidobacteria	Holophagae	Subgroup 7	Unknown family	Unknown genus	Acidobacteria > Holophagae > Subgroup 7 > Unknown family > Unknown genus	3	7.789930065166549e-4
OTU_2720	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Gallionellaceae > Unknown genus	4	2.100255790148865e-4
OTU_1026	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Unknown family	Unknown genus	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Unknown family > Unknown genus	3	2.4193497315973714e-4
OTU_771	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	8.44916489246409e-4
OTU_8988	Acidobacteria	Acidobacteria	Subgroup 3	PAUC26f	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 3 > PAUC26f > Unknown genus	4	2.336659852808041e-5
OTU_53	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	0.0011873156777793472
OTU_4305	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Firmicutes > Bacilli > Bacillales > Alicyclobacillaceae > Tumebacillus	5	1.321731438534026e-5
OTU_3795	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unknown genus	Proteobacteria > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Unknown genus	4	2.3793013033976826e-5
OTU_1099	Proteobacteria	Betaproteobacteria	TRA3-20	Unknown family	Unknown genus	Proteobacteria > Betaproteobacteria > TRA3-20 > Unknown family > Unknown genus	3	2.5575283039167425e-4
OTU_11972	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown genus	Proteobacteria > Betaproteobacteria > Burkholderiales > Oxalobacteraceae > Unknown genus	4	7.499582897221724e-5
OTU_12875	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Actinobacteria > Thermoleophilia > Gaiellales > Gaiellaceae > Gaiella	5	1.1072034095734628e-4
OTU_13559	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta 2	Spirochaetae > Spirochaetes > Spirochaetales > Spirochaetaceae > Spirochaeta 2	5	1.3789263171115549e-5
OTU_1053	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Azospira	5	4.412203860348638e-5
OTU_2119	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Novosphingobium	5	1.9997062978658022e-4
OTU_6646	Cyanobacteria	Chloroplast	Unknown order	Unknown family	Unknown genus	Cyanobacteria > Chloroplast > Unknown order > Unknown family > Unknown genus	2	1.153567159933153e-6
OTU_10207	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 9	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 9	5	5.20506095334455e-5
OTU_820	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	PHOS-HE51	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > PHOS-HE51 > Unknown genus	4	1.41710176625752e-4
OTU_6167	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	8.129649802801847e-6
OTU_5142	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Unknown genus	Acidobacteria > Acidobacteria > Acidobacteriales > Acidobacteriaceae (Subgroup 1) > Unknown genus	4	1.1704759342992166e-5
OTU_3001	Miscellaneous Crenarchaeotic Group	Unknown class	Unknown order	Unknown family	Unknown genus	Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus	1	6.792852444454154e-5
OTU_5353	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Roseomonas	5	2.0482598085463023e-5
OTU_2230	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Unknown family	Unknown genus	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Unknown family > Unknown genus	3	4.181241716951874e-5
OTU_5786	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Unknown genus	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Saprospiraceae > Unknown genus	4	4.4850334129423215e-6
OTU_1742	Gemmatimonadetes	Gemmatimonadetes	BD2-11 terrestrial group	Unknown family	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > BD2-11 terrestrial group > Unknown family > Unknown genus	3	7.648576247963287e-5
OTU_1314	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Unknown genus	Bacteroidetes > Cytophagia > Cytophagales > Cyclobacteriaceae > Unknown genus	4	2.0400432937720352e-4
OTU_3617	Chlorobi	Ignavibacteria	Ignavibacteriales	BSV26	Unknown genus	Chlorobi > Ignavibacteria > Ignavibacteriales > BSV26 > Unknown genus	4	1.04380979938429e-4
OTU_3260	Bacteroidetes	Bacteroidia	Bacteroidia Incertae Sedis	Draconibacteriaceae	Unknown genus	Bacteroidetes > Bacteroidia > Bacteroidia Incertae Sedis > Draconibacteriaceae > Unknown genus	4	4.631913404514171e-5
OTU_3869	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria Incertae Sedis	Syntrophorhabdaceae	Syntrophorhabdus	Proteobacteria > Deltaproteobacteria > Deltaproteobacteria Incertae Sedis > Syntrophorhabdaceae > Syntrophorhabdus	5	3.2779989063216994e-5
OTU_13906	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Euryarchaeota > Methanomicrobia > Methanosarcinales > Methanosaetaceae > Methanosaeta	5	7.82787906589252e-6
OTU_8763	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	2.807665630137169e-4
OTU_811	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	3.637305877309048e-4
OTU_3078	Gemmatimonadetes	Gemmatimonadetes	S0134 terrestrial group	Unknown family	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > S0134 terrestrial group > Unknown family > Unknown genus	3	1.9310169888233476e-4
OTU_3979	Proteobacteria	Deltaproteobacteria	Myxococcales	UASB-TL25	Unknown genus	Proteobacteria > Deltaproteobacteria > Myxococcales > UASB-TL25 > Unknown genus	4	9.500885611490214e-5
OTU_5033	Proteobacteria	Deltaproteobacteria	Myxococcales	Unknown family	Unknown genus	Proteobacteria > Deltaproteobacteria > Myxococcales > Unknown family > Unknown genus	3	2.926046283582559e-5
OTU_3216	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurovum	Proteobacteria > Epsilonproteobacteria > Campylobacterales > Helicobacteraceae > Sulfurovum	5	4.5399160479677355e-5
OTU_1507	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospirae > Nitrospira > Nitrospirales > Nitrospiraceae > Nitrospira	5	2.5207712987035294e-4
OTU_870	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pirellula	5	4.123698651751793e-4
OTU_3636	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	1.1024922356900858e-4
OTU_12293	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir2 lineage	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Pir2 lineage	5	2.5005763519118137e-5
OTU_1951	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	Firmicutes > Clostridia > Clostridiales > Ruminococcaceae > Fastidiosipila	5	2.1058751320044123e-5
OTU_14001	Lentisphaerae	PBS-III-20	Unknown order	Unknown family	Unknown genus	Lentisphaerae > PBS-III-20 > Unknown order > Unknown family > Unknown genus	2	6.6385947788995996e-6
OTU_420	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Unknown genus	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus	4	3.26289831859283e-4
OTU_9	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Illumatobacter	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	5	0.0019008757769199526
OTU_5441	Unknown phylum	Unknown class	Unknown order	Unknown family	Unknown genus	Unknown phylum > Unknown class > Unknown order > Unknown family > Unknown genus	0	8.394843898148107e-6
OTU_1702	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parasegetibacter	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Parasegetibacter	5	1.3853215316220175e-4
OTU_230	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unknown genus	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Unknown genus	4	3.408535449697096e-5
OTU_5649	Actinobacteria	Thermoleophilia	Gaiellales	Unknown family	Unknown genus	Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus	3	1.7350200960463202e-4
OTU_956	Verrucomicrobia	S-BQ2-57 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > S-BQ2-57 soil group > Unknown order > Unknown family > Unknown genus	2	1.9548827645712066e-4
OTU_13873	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Leptolinea	5	3.9760640941531976e-7
OTU_707	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales Incertae Sedis	Thiomonas	Proteobacteria > Betaproteobacteria > Burkholderiales > Burkholderiales Incertae Sedis > Thiomonas	5	1.2113626499848358e-6
OTU_1636	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Nitrosospira	5	1.0701203548642536e-4
OTU_11003	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Proteobacteria > Alphaproteobacteria > Caulobacterales > Caulobacteraceae > Phenylobacterium	5	5.9851212375083496e-5
OTU_2707	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Iamiaceae > Iamia	5	1.0248616137138124e-4
OTU_1435	Proteobacteria	Deltaproteobacteria	Sva0485	Unknown family	Unknown genus	Proteobacteria > Deltaproteobacteria > Sva0485 > Unknown family > Unknown genus	3	1.4369431385985538e-4
OTU_4264	Nitrospirae	Nitrospira	Nitrospirales	Sh765B-TzT-35	Unknown genus	Nitrospirae > Nitrospira > Nitrospirales > Sh765B-TzT-35 > Unknown genus	4	8.433751362534644e-5
OTU_13493	Armatimonadetes	Unknown class	Unknown order	Unknown family	Unknown genus	Armatimonadetes > Unknown class > Unknown order > Unknown family > Unknown genus	1	3.662840619643362e-5
OTU_3645	Lentisphaerae	Lentisphaerae RFP12 gut group	Unknown order	Unknown family	Unknown genus	Lentisphaerae > Lentisphaerae RFP12 gut group > Unknown order > Unknown family > Unknown genus	2	4.475932240151242e-5
OTU_3294	Chloroflexi	Ktedonobacteria	JG30-KF-AS9	Unknown family	Unknown genus	Chloroflexi > Ktedonobacteria > JG30-KF-AS9 > Unknown family > Unknown genus	3	1.588892474917662e-5
OTU_924	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29 marine group	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > CL500-29 marine group	5	2.889423397382403e-4
OTU_576	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Unknown genus	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Desulfuromonadaceae > Unknown genus	4	2.4268766720639325e-5
OTU_2354	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Proteobacteria > Alphaproteobacteria > Rhizobiales > Xanthobacteraceae > Pseudolabrys	5	4.575023036512343e-4
OTU_6660	Latescibacteria	Unknown class	Unknown order	Unknown family	Unknown genus	Latescibacteria > Unknown class > Unknown order > Unknown family > Unknown genus	1	1.5811668097649088e-5
OTU_6867	Proteobacteria	Alphaproteobacteria	Rhodospirillales	JG37-AG-20	Unknown genus	Proteobacteria > Alphaproteobacteria > Rhodospirillales > JG37-AG-20 > Unknown genus	4	1.6723366739829818e-5
OTU_1743	Actinobacteria	MB-A2-108	Unknown order	Unknown family	Unknown genus	Actinobacteria > MB-A2-108 > Unknown order > Unknown family > Unknown genus	2	1.7642289880496315e-4
OTU_3964	Verrucomicrobia	OPB35 soil group	Unknown order	Unknown family	Unknown genus	Verrucomicrobia > OPB35 soil group > Unknown order > Unknown family > Unknown genus	2	2.974538552476027e-5
OTU_1222	Acidobacteria	Acidobacteria	Subgroup 3	GOUTB8	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 3 > GOUTB8 > Unknown genus	4	2.548536491143968e-4
OTU_1709	Gemmatimonadetes	Gemmatimonadetes	S0134 terrestrial group	Unknown family	Unknown genus	Gemmatimonadetes > Gemmatimonadetes > S0134 terrestrial group > Unknown family > Unknown genus	3	8.149084175632081e-6
OTU_5074	Actinobacteria	Thermoleophilia	Gaiellales	Unknown family	Unknown genus	Actinobacteria > Thermoleophilia > Gaiellales > Unknown family > Unknown genus	3	4.98502886402121e-5
OTU_600	Acidobacteria	Acidobacteria	Subgroup 6	Unknown family	Unknown genus	Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus	3	2.3020033048001687e-4
