LineageRank	LineageKey	Phylum	Class	Order	Family	Genus	FeatureCount	EqualSampleMean	PooledReadFraction
123	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Pelolinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	7	6.230440696065397e-4	5.581383862144758e-4
124	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillales Incertae Sedis > Reyranella	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales Incertae Sedis	Reyranella	12	6.215898917602951e-4	6.260534553334939e-4
125	Firmicutes > Clostridia > Clostridiales > Ruminococcaceae > Fastidiosipila	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	12	6.100764401630132e-4	6.291405039298128e-4
126	Proteobacteria > Deltaproteobacteria > Deltaproteobacteria Incertae Sedis > Syntrophorhabdaceae > Syntrophorhabdus	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria Incertae Sedis	Syntrophorhabdaceae	Syntrophorhabdus	17	6.084400791212072e-4	6.217315872986473e-4
127	Proteobacteria > Betaproteobacteria > Burkholderiales > Burkholderiaceae > Limnobacter	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	2	6.074473018107862e-4	5.383812751980342e-4
128	Firmicutes > Clostridia > Halanaerobiales > Halanaerobiaceae > Halanaerobium	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	3	6.06998509109707e-4	5.105978378311632e-4
129	Bacteroidetes > Cytophagia > Cytophagales > Cytophagaceae > Mangrovibacterium	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Mangrovibacterium	4	6.002592568421794e-4	4.3650867151950705e-4
130	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillaceae > Pelagibius	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius	4	5.952238374187529e-4	4.673791574826971e-4
131	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Rubripirellula	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rubripirellula	4	5.751236090959069e-4	4.642921088863781e-4
132	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Youngiibacter	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Youngiibacter	1	5.678696929741063e-4	5.9456555965104e-4
133	Firmicutes > Bacilli > Lactobacillales > Lactobacillaceae > Lactobacillus	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	5	5.627214294303715e-4	4.933103656917767e-4
134	Proteobacteria > Alphaproteobacteria > Rhizobiales > Hyphomicrobiaceae > Rhodoplanes	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	8	5.597209506549954e-4	5.754258583538622e-4
135	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillaceae > Defluviicoccus	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus	13	5.533721746999594e-4	4.821969907450283e-4
136	Planctomycetes > Phycisphaerae > Phycisphaerales > Phycisphaeraceae > SM1A02	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	40	5.521233604099611e-4	5.161545253045374e-4
137	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Desulfuromonadaceae > Desulfuromusa	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromusa	3	5.184850375190724e-4	4.3897831039656226e-4
138	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Gallionellaceae > Candidatus Nitrotoga	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Candidatus Nitrotoga	3	5.171862277064319e-4	5.167719350238012e-4
139	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Leisingera	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	2	5.131464811484826e-4	5.877740527391383e-4
140	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobulbaceae > Desulfopila	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfopila	5	5.123344923091417e-4	4.17986379941593e-4
141	Firmicutes > Clostridia > Clostridiales > Family XII > Acidaminobacter	Firmicutes	Clostridia	Clostridiales	Family XII	Acidaminobacter	9	5.094071845096115e-4	5.315897682861324e-4
142	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Longilinea	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	12	5.092284611066814e-4	4.3959572011582605e-4
143	Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geothermobacter	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geothermobacter	4	5.083236892612751e-4	4.766403032716541e-4
144	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Erythrobacteraceae > Porphyrobacter	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter	2	5.060312963428861e-4	5.303549488476048e-4
145	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Thioclava	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava	2	5.020658356538152e-4	4.5009168534331065e-4
146	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingopyxis	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	4	4.972833006274169e-4	4.988670531651509e-4
147	Actinobacteria > Actinobacteria > Frankiales > Sporichthyaceae > hgcI clade	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	7	4.933756129400362e-4	4.451524075892003e-4
148	Proteobacteria > Gammaproteobacteria > Chromatiales > Ectothiorhodospiraceae > Thioalkalispira	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalispira	8	4.901999684696409e-4	4.383609006772985e-4
149	Actinobacteria > Actinobacteria > Propionibacteriales > Nocardioidaceae > Marmoricola	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	4	4.887652345205372e-4	4.957800045688319e-4
150	Firmicutes > Bacilli > Bacillales > Staphylococcaceae > Staphylococcus	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	1	4.857890392581114e-4	4.2169083825717587e-4
151	Actinobacteria > Actinobacteria > Micrococcales > Demequinaceae > Lysinimicrobium	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Lysinimicrobium	2	4.857835807351564e-4	4.3280421320392425e-4
152	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Chlorochromatium	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Chlorochromatium	2	4.8091424743156177e-4	5.309723585668686e-4
153	Bacteroidetes > Bacteroidia > Bacteroidales > Porphyromonadaceae > Paludibacter	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	6	4.8025950124377963e-4	5.087456086733717e-4
154	Proteobacteria > Alphaproteobacteria > Rhizobiales > Phyllobacteriaceae > Mesorhizobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	6	4.793812180697039e-4	4.988670531651509e-4
155	Bacteroidetes > Cytophagia > Cytophagales > Cytophagaceae > Pontibacter	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pontibacter	8	4.7375252532975027e-4	5.291201294090772e-4
156	Proteobacteria > Alphaproteobacteria > Rhizobiales > Hyphomicrobiaceae > Hyphomicrobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	10	4.631497726675523e-4	4.605876505707953e-4
157	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Erythrobacteraceae > Croceicoccus	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	4	4.5947249319367855e-4	4.4638722702772786e-4
158	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Tabrizicola	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	1	4.5910023849704643e-4	5.606080250915309e-4
159	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Variovorax	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	1	4.56774964727137e-4	4.636746991671143e-4
160	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rubellimicrobium	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	9	4.471522442467665e-4	4.784925324294455e-4
161	Thermotogae > Thermotogae > Thermotogales > Thermotogaceae > EM3	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	EM3	2	4.45164597443896e-4	3.797069773472374e-4
162	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Acetobacteraceae > Acetobacter	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	1	4.4214497666255725e-4	3.790895676279736e-4
163	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingorhabdus	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	2	4.3811050379127824e-4	4.0316854667926184e-4
164	Bacteroidetes > Cytophagia > Cytophagales > Flammeovirgaceae > Reichenbachiella	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella	10	4.3796844794186156e-4	4.11812282748955e-4
165	Actinobacteria > Actinobacteria > Micrococcales > Cellulomonadaceae > Cellulomonas	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	4	4.3648036525376267e-4	4.2416047713423103e-4
166	Proteobacteria > Gammaproteobacteria > Oceanospirillales > Oceanospirillaceae > Pseudospirillum	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum	12	4.3584490335358736e-4	4.482394561855193e-4
167	Euryarchaeota > Methanobacteria > Methanobacteriales > Methanobacteriaceae > Methanobacterium	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	12	4.345387713645832e-4	4.4576981730846407e-4
168	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillaceae > Magnetospirillum	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	1	4.3193446177979466e-4	3.760025190316546e-4
169	Proteobacteria > Alphaproteobacteria > Caulobacterales > Hyphomonadaceae > Woodsholea	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Woodsholea	16	4.2583272110343435e-4	4.2909975488834146e-4
170	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Pseudoxanthomonas	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	3	4.2191926718080334e-4	4.2724752573055003e-4
171	Firmicutes > Clostridia > Clostridiales > Peptostreptococcaceae > Acetoanaerobium	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	2	4.15781909080178e-4	5.951829693703038e-4
172	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Sulfuritalea	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	4	4.11821073086713e-4	4.019337272407342e-4
173	Cyanobacteria > Cyanobacteria > SubsectionI > FamilyI > Synechococcus	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus	4	4.0734499153575104e-4	3.9946408836367904e-4
174	Firmicutes > Clostridia > Thermoanaerobacterales > Thermodesulfobiaceae > Coprothermobacter	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Coprothermobacter	2	4.0619213351338415e-4	3.550105885766854e-4
175	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Saprospiraceae > Phaeodactylibacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Phaeodactylibacter	17	4.0535682464674894e-4	3.784721579087098e-4
176	Proteobacteria > Alphaproteobacteria > Rhizobiales > Rhodobiaceae > Methyloceanibacter	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloceanibacter	1	3.967091060475266e-4	3.722980607160718e-4
177	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Desulfosarcina	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina	2	3.9487290426135053e-4	3.6303691492711477e-4
178	Planctomycetes > Phycisphaerae > Phycisphaerales > Phycisphaeraceae > AKYG587	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587	17	3.917814588728379e-4	3.519235399803664e-4
179	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Aquabacterium	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium	3	3.9086900137995194e-4	4.445349978699365e-4
180	Proteobacteria > Alphaproteobacteria > Rhizobiales > Methylocystaceae > Pleomorphomonas	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	3	3.8354691837219553e-4	3.5994986633079576e-4
181	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Ponticoccus	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ponticoccus	1	0.00038262500721196523	3.3648829699877136e-4
182	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillales Incertae Sedis > Candidatus Alysiosphaera	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales Incertae Sedis	Candidatus Alysiosphaera	10	3.80239776160488e-4	3.5068872054183875e-4
183	Actinobacteria > Thermoleophilia > Solirubrobacterales > Solirubrobacteraceae > Solirubrobacter	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	3	3.7848058404009205e-4	3.766199287509184e-4
184	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Candidatus Accumulibacter	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Candidatus Accumulibacter	4	3.7598771721437707e-4	4.1922119938012065e-4
185	Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Dechloromonas	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Dechloromonas	4	0.00037074749343593214	3.451320330684646e-4
186	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Winogradskyella	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	1	3.6719730285784193e-4	0.00033587088727950757
187	Proteobacteria > Gammaproteobacteria > Cellvibrionales > Spongiibacteraceae > BD1-7 clade	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7 clade	13	3.6476900583218573e-4	3.4945390110331117e-4
188	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Seohaeicola	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Seohaeicola	1	3.626172019712291e-4	4.0872523415263606e-4
189	Proteobacteria > Alphaproteobacteria > Caulobacterales > Hyphomonadaceae > Hirschia	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	9	3.5814214307331474e-4	3.642717343656424e-4
190	Proteobacteria > Gammaproteobacteria > Legionellales > Coxiellaceae > Aquicella	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	29	3.56208930794665e-4	4.0563818555631705e-4
191	Firmicutes > Bacilli > Lactobacillales > Streptococcaceae > Lactococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	1	3.5533671224620986e-4	3.154963665438021e-4
192	Proteobacteria > Deltaproteobacteria > Myxococcales > Phaselicystidaceae > Phaselicystis	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	17	3.546772394293919e-4	3.5007131082257496e-4
193	Proteobacteria > Alphaproteobacteria > Rhodospirillales > Rhodospirillaceae > Skermanella	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	5	3.5233809483702663e-4	3.679761926812252e-4
194	Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadaceae > Rhodanobacter	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	10	3.4940330123542016e-4	3.753851093123908e-4
195	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Polaromonas	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	1	3.48420513967574e-4	3.3401865812171614e-4
196	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Desulfotignum	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	3	3.4646316560626837e-4	3.0376558187778993e-4
197	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Desulfatitalea	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatitalea	5	0.00034543695315213363	2.833910611420845e-4
198	Planctomycetes > Planctomycetacia > Planctomycetales > Planctomycetaceae > Isosphaera	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Isosphaera	13	3.4189522855892314e-4	3.2660974149055055e-4
199	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Ramlibacter	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	1	3.3782510572504963e-4	3.4945390110331117e-4
200	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Ruegeria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	1	3.351080916011983e-4	3.2722715120981434e-4
201	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Segetibacter	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Segetibacter	5	3.3509167264755195e-4	3.315490192446609e-4
202	Proteobacteria > Deltaproteobacteria > Bdellovibrionales > Bacteriovoracaceae > Deferrisoma	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Deferrisoma	13	3.282881424842017e-4	2.858607000191397e-4
203	Actinobacteria > Actinobacteria > Micrococcales > Demequinaceae > Demequina	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Demequina	5	3.261433383542941e-4	3.488364913840474e-4
204	Euryarchaeota > Methanobacteria > Methanobacteriales > Methanobacteriaceae > Methanothermobacter	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	1	3.252423581911863e-4	2.840084708613483e-4
205	Actinobacteria > Actinobacteria > Frankiales > Nakamurellaceae > Nakamurella	Actinobacteria	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	5	3.212152302552476e-4	3.3710570671803515e-4
206	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Yangia	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yangia	2	3.187810167521016e-4	4.1551674106453786e-4
207	Proteobacteria > Gammaproteobacteria > Chromatiales > Ectothiorhodospiraceae > Acidiferrobacter	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter	7	3.1772955868287724e-4	3.729154704353356e-4
208	Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rhodovulum	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	2	3.1374893178564314e-4	2.457290682669927e-4
209	Actinobacteria > Actinobacteria > Kineosporiales > Kineosporiaceae > Kineosporia	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	3	3.125748362871403e-4	3.124093179474831e-4
210	Proteobacteria > Gammaproteobacteria > Aeromonadales > Aeromonadaceae > Aeromonas	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	2	3.092208615913865e-4	4.0687300499484463e-4
211	Bacteroidetes > Cytophagia > Cytophagales > Cytophagaceae > Chryseolinea	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Chryseolinea	5	3.0646834909137403e-4	3.0685263047410894e-4
212	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiales Incertae Sedis > Candidatus Microthrix	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales Incertae Sedis	Candidatus Microthrix	8	3.045773434659498e-4	2.938870263695691e-4
213	Proteobacteria > Betaproteobacteria > Methylophilales > Methylophilaceae > Methylotenera	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera	6	3.029996858193943e-4	2.914173874925139e-4
214	Firmicutes > Clostridia > Clostridiales > Peptostreptococcaceae > Peptoclostridium	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	2	2.988172851359608e-4	2.549902140559497e-4
215	Bacteroidetes > Sphingobacteriia > Sphingobacteriales > Chitinophagaceae > Parafilimonas	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parafilimonas	5	2.957378259463974e-4	2.710428667568085e-4
216	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Zeaxanthinibacter	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zeaxanthinibacter	1	2.885984576226803e-4	2.722776861953361e-4
217	Actinobacteria > Actinobacteria > Micrococcales > Microbacteriaceae > Lysinimonas	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Lysinimonas	1	2.882295034801803e-4	2.994437138429433e-4
218	Verrucomicrobia > Verrucomicrobiae > Verrucomicrobiales > Verrucomicrobiaceae > Roseibacillus	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus	7	2.8756642370508307e-4	2.3832015163582706e-4
219	Proteobacteria > Deltaproteobacteria > Desulfobacterales > Desulfobacteraceae > Desulfatirhabdium	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium	2	2.849404888432652e-4	2.5313798489815827e-4
220	Firmicutes > Bacilli > Lactobacillales > Carnobacteriaceae > Carnobacterium	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	1	2.845905802627789e-4	3.3648829699877136e-4
221	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Chryseobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	5	2.809786255820745e-4	3.2537492205202297e-4
222	Firmicutes > Clostridia > Clostridiales > Peptostreptococcaceae > Romboutsia	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	1	2.7999970122436537e-4	2.796866028265017e-4
223	Proteobacteria > Betaproteobacteria > Nitrosomonadales > Gallionellaceae > Sideroxydans	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	2	2.7825802012696745e-4	2.877129291769311e-4
224	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Aestuariibaculum	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aestuariibaculum	1	2.7411814503647725e-4	3.883507134169306e-4
225	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophobacteraceae > Syntrophobacter	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	16	2.717482959735628e-4	2.833910611420845e-4
226	Bacteroidetes > Bacteroidia > Bacteroidia Incertae Sedis > Prolixibacteraceae > Prolixibacter	Bacteroidetes	Bacteroidia	Bacteroidia Incertae Sedis	Prolixibacteraceae	Prolixibacter	8	2.6887668513527195e-4	2.6672099872196187e-4
227	Actinobacteria > Actinobacteria > Micromonosporales > Micromonosporaceae > Actinoplanes	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	6	2.6883560248377563e-4	2.710428667568085e-4
228	Firmicutes > Clostridia > Clostridiales > Peptococcaceae > Desulfosporosinus	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	4	2.6851367316497814e-4	2.759821445109189e-4
229	Proteobacteria > Gammaproteobacteria > Aeromonadales > Aeromonadaceae > Oceanimonas	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	2	2.671044081111838e-4	2.9326961665030534e-4
230	Actinobacteria > Actinobacteria > Frankiales > Geodermatophilaceae > Blastococcus	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	2	2.661604383933943e-4	2.716602764760723e-4
231	Bacteroidetes > Cytophagia > Cytophagales > Cyclobacteriaceae > Aquiflexum	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Aquiflexum	3	2.6590944954151625e-4	2.895651583347225e-4
232	Actinobacteria > Thermoleophilia > Solirubrobacterales > Patulibacteraceae > Patulibacter	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	14	2.6479594439710513e-4	2.6672099872196187e-4
233	Proteobacteria > Deltaproteobacteria > Bdellovibrionales > Bacteriovoracaceae > Peredibacter	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	7	2.6279632894432906e-4	2.556076237752135e-4
234	Proteobacteria > Deltaproteobacteria > Syntrophobacterales > Syntrophaceae > Desulfomonile	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile	4	2.564983670299433e-4	2.3214605444318905e-4
235	Proteobacteria > Gammaproteobacteria > Vibrionales > Vibrionaceae > Photobacterium	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	1	2.5489191286869663e-4	3.920551717325134e-4
236	Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Rhizobacter	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	3	2.543247587745418e-4	2.778343736687103e-4
237	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Kocuria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	1	2.522367729593967e-4	2.833910611420845e-4
238	Firmicutes > Clostridia > Clostridiales > Family XIII > Anaerovorax	Firmicutes	Clostridia	Clostridiales	Family XIII	Anaerovorax	4	2.5119109834640725e-4	3.1981823457864875e-4
239	Firmicutes > Clostridia > Clostridiales > Family XIII > [Eubacterium] brachy group	Firmicutes	Clostridia	Clostridiales	Family XIII	[Eubacterium] brachy group	1	2.449859517793208e-4	3.006785332814709e-4
240	Proteobacteria > Gammaproteobacteria > Methylococcales > Crenotrichaceae > Crenothrix	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix	6	2.4144364546036765e-4	2.648687695641705e-4
241	Bacteroidetes > Bacteroidia > Bacteroidales > Rikenellaceae > vadinBC27 wastewater-sludge group	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	vadinBC27 wastewater-sludge group	6	2.4104187178964717e-4	2.4264201967067364e-4
